iter	RMSE
0	8.725872839
1	8.010766268
2	7.440705108
3	6.910652112
4	6.448425605
5	5.943982449
6	5.517144086
7	5.10066043
8	4.819710885
9	4.487225441
10	4.195443177
11	3.996012217
12	3.771030612
13	3.525989771
14	3.327275291
15	3.151195023
16	2.973362594
17	2.798861957
18	2.645621488
19	2.541947725
20	2.446184322
21	2.329968261
22	2.224447658
23	2.132880151
24	2.072796834
25	1.998961894
26	1.939899609
27	1.884191957
28	1.830846007
29	1.788380538
30	1.751353911
31	1.716234081
32	1.683037626
33	1.641870302
34	1.607999165
35	1.58212741
36	1.535357001
37	1.519155868
38	1.460962586
39	1.43587547
40	1.389606522
41	1.360703034
42	1.338863832
43	1.298698175
44	1.280740271
45	1.26459177
46	1.234645785
47	1.213616572
48	1.19525843
49	1.144806052
50	1.139307939
51	1.128161221
52	1.118263078
53	1.100678726
54	1.077058035
55	1.057744538
56	1.050265089
57	1.043647119
58	1.040834164
59	1.000676432
60	0.992868936
61	0.9775117236
62	0.9612424872
63	0.9255905969
64	0.9208749731
65	0.8957536916
66	0.8632607245
67	0.8544845365
68	0.8473226951
69	0.844445194
70	0.8371840513
71	0.8288306018
72	0.8175553807
73	0.8148436668
74	0.7912662181
75	0.7783095325
76	0.7712557528
77	0.7652297804
78	0.7615158048
79	0.7584166366
80	0.7498298091
81	0.7378758802
82	0.7319583227
83	0.7090220646
84	0.7037348932
85	0.6972250098
86	0.6884159521
87	0.6753607288
88	0.6663255396
89	0.6471117427
90	0.6366817383
91	0.631058613
92	0.6098057005
93	0.6001319854
94	0.5927836708
95	0.5829020129
96	0.5765795054
97	0.5728105855
98	0.5678391788
99	0.563990855
