iter	Passed	Remaining
0	2	296
1	3	187
2	9	314
3	17	424
4	19	372
5	20	321
6	21	284
7	22	260
8	23	233
9	23	215
10	25	205
11	25	189
12	26	176
13	31	194
14	33	188
15	38	202
16	43	213
17	45	205
18	62	264
19	63	252
20	64	241
21	69	245
22	70	237
23	72	229
24	74	222
25	75	214
26	81	220
27	83	214
28	92	226
29	94	219
30	99	221
31	100	212
32	101	205
33	102	199
34	104	193
35	106	189
36	108	184
37	109	178
38	110	173
39	124	186
40	126	181
41	128	176
42	129	171
43	131	166
44	141	172
45	142	166
46	144	162
47	145	157
48	147	153
49	152	152
50	157	151
51	158	146
52	164	145
53	165	141
54	171	140
55	173	135
56	174	131
57	175	127
58	176	122
59	186	124
60	188	120
61	197	121
62	198	116
63	200	112
64	201	108
65	202	104
66	208	102
67	209	98
68	215	96
69	216	92
70	217	88
71	223	86
72	224	83
73	229	80
74	231	77
75	236	74
76	238	71
77	240	67
78	241	64
79	247	61
80	248	58
81	249	54
82	251	51
83	252	48
84	258	45
85	259	42
86	264	39
87	266	36
88	267	33
89	269	29
90	278	27
91	280	24
92	290	21
93	291	18
94	293	15
95	294	12
96	296	9
97	298	6
98	303	3
99	305	0
